,Number/Click,Time,Connection Status,COM
0,1,-,Connceted,COM2
1,2,1036.1,Connceted,COM5
2,3,17316.6,Connceted,COM8
3,4,-,Connceted,COM9
4,5,79.8,Connceted,COM10
5,6,2298.1,Connceted,COM12
6,7,878.2,Connceted,COM13
7,8,-,Not Connceted,COM14
8,9,2018.3,Connceted,COM15
9,10,14704.7,Connceted,COM16
10,11,-,Not Connceted,COM17
11,12,-,Not Connceted,COM18
12,13,-,Not Connceted,COM19
13,14,18382.2,Connceted,COM20
14,15,819.5,Connceted,COM21
15,16,-,Not Connceted,COM22
16,17,2606.5,Connceted,COM23
17,18,28357.6,Connceted,COM24
18,19,4443.5,Connceted,COM25
19,20,4500.5,Connceted,COM26
20,21,3619.4,Connceted,COM27
21,22,1361.7,Connceted,COM28
22,23,3480.8,Connceted,COM29
23,24,4107.5,Connceted,COM30
24,25,37395.1,Connceted,COM31
25,26,49879.9,Connceted,COM32
26,27,1522.9,Connceted,COM33
27,28,1881.3,Connceted,COM34
28,29,486.7,Connceted,COM36
29,30,1191.6,Connceted,COM37
30,31,2913.6,Connceted,COM38
31,32,1634.6,Connceted,COM39
32,33,429.4,Connceted,COM41
33,34,19691.8,Connceted,COM42
34,35,21740.4,Connceted,COM43
35,36,1423.9,Connceted,COM44
36,37,10762.6,Connceted,COM45
37,38,135.7,Connceted,COM46
38,39,7436.3,Connceted,COM48
39,40,-,Not Connceted,COM49
40,41,-,Not Connceted,COM53
41,42,26687.4,Connceted,COM54
42,43,-,Not Connceted,COM55
43,44,385.2,Connceted,COM56
44,45,213.1,Connceted,COM57
45,46,754.9,Connceted,COM58
46,47,16682.5,Connceted,COM61
47,48,455.5,Connceted,COM62
48,49,1084.2,Connceted,COM73
49,50,33635.5,Connceted,COM74
50,51,410.1,Connceted,COM107
51,52,54.8,Connceted,COM106
52,53,-,Not Connceted,COM104
53,54,143.4,Connceted,COM105
54,55,4997.3,Connceted,COM103
55,56,84.2,Connceted,COM102
56,57,957.7,Connceted,COM91
57,58,6147.5,Connceted,COM101
58,59,10783.6,Connceted,COM100
59,60,1135.9,Connceted,COM99
60,61,23673.6,Connceted,COM98
61,62,43.3,Connceted,COM97
62,63,8424.3,Connceted,COM96
63,64,-,Connceted,COM95
64,65,0.5,Connceted,COM94
65,66,2781.3,Connceted,COM50
66,67,621.0,Connceted,COM51
67,68,819.9,Connceted,COM93
68,69,-,Not Connceted,COM35
69,70,312.5,Connceted,COM92
70,71,-,Not Connceted,COM47
71,72,0.5,Connceted,COM90
72,73,206.8,Connceted,COM80
73,74,1306.7,Connceted,COM59
74,75,20919.6,Connceted,COM60
75,76,9412.1,Connceted,COM52
76,77,11064.0,Connceted,COM1
77,78,2669.4,Connceted,COM3
78,79,11669.6,Connceted,COM89
79,80,-,Not Connceted,COM88
80,81,7451.3,Connceted,COM87
81,82,182.1,Connceted,COM86
82,83,-,Not Connceted,COM81
83,84,10192.4,Connceted,COM11
84,85,-,Not Connceted,COM85
85,86,-,Not Connceted,COM40
86,87,-,Not Connceted,COM6
87,88,1051.5,Connceted,COM82
88,89,16577.2,Connceted,COM84
89,90,-,Not Connceted,COM7
90,91,11630.4,Connceted,COM83
91,92,7560.6,Connceted,COM72
92,93,932.7,Connceted,COM71
93,94,457.8,Connceted,COM70
94,95,924.9,Connceted,COM69
95,96,-,Not Connceted,COM66
96,97,1218.7,Connceted,COM64
97,98,9925.1,Connceted,COM63
98,99,27927.7,Connceted,COM67
99,100,36.9,Connceted,COM65
100,101,28.8,Connceted,COM78
101,102,2569.4,Connceted,COM68
102,103,923.6,Connceted,COM79
103,104,-,Connceted,COM76
104,105,-,Not Connceted,COM75
105,106,-,Not Connceted,COM77
106,107,1331.4,Connceted,COM108
107,108,-,Not Connceted,COM109
108,109,58.0,Connceted,COM110
109,110,-,Not Connceted,COM111
110,111,10.2,Connceted,COM112
111,112,-,Not Connceted,COM113
112,113,1355.5,Connceted,COM114
113,114,22779.5,Connceted,COM115
114,115,1551.1,Connceted,COM116
115,116,17.4,Connceted,COM117
116,117,218.2,Connceted,COM118
117,118,2482.3,Connceted,COM119
118,119,-,Connceted,COM120
119,120,24.0,Connceted,COM121
120,121,-,Connceted,COM122
121,122,73.7,Connceted,COM123
122,123,197.8,Connceted,COM124
123,124,4167.5,Connceted,COM125
124,125,2060.7,Connceted,COM126
125,126,69.8,Connceted,COM127
126,127,214.0,Connceted,COM128
127,128,5.2,Connceted,COM129
128,129,138.3,Connceted,COM130
129,130,1.2,Connceted,COM131
130,131,864.2,Connceted,COM132
131,132,85.7,Connceted,COM134
132,133,163.3,Connceted,COM133
133,134,-,Connceted,COM135
134,135,10870.3,Connceted,COM136
135,136,1926.5,Connceted,COM137
136,137,361.6,Connceted,COM138
137,138,18.7,Connceted,COM139
138,139,380.5,Connceted,COM140
139,140,197.8,Connceted,COM141
140,141,108.7,Connceted,COM142
141,142,2311.5,Connceted,COM4
142,143,8424.3,Connceted,COM143
