s,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition,
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-,
1,2,-,Connceted,5,-,-,-,-,-,-,-,-,-,
2,3,17378,Connceted,8,12.9V,V,V,V,V,V,V,-,auto,
3,4,1810,Connceted,9,14.3V,V,V,V,233V,227V,231V,-,auto,
4,5,-,Connceted,10,-,-,-,-,-,-,-,-,-,
5,6,2363,Connceted,12,14.5V,V,V,V,230V,235V,229V,WARNING : High Temp. Sender,auto,
6,7,-,Not Connceted,13,-,-,-,-,-,-,-,-,-,
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-,
8,9,2143,Connceted,15,13.4V,V,V,V,V,V,V,-,auto,
9,10,14781,Connceted,16,12.8V,V,V,V,V,V,V,-,auto,
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-,
11,12,-,Not Connceted,18,-,-,-,-,-,-,-,-,-,
12,13,8813,Connceted,19,13.6V,215V,215V,215V,V,V,V,-,auto,
13,14,18529,Connceted,20,14.6V,V,V,V,229V,229V,229V,-,auto,
14,15,966,Connceted,21,14.6V,V,V,V,226V,232V,232V,-,auto,
15,16,-,Not Connceted,22,-,-,-,-,-,-,-,-,-,
16,17,2686,Connceted,23,12.5V,V,V,V,V,V,V,WARNING : Service Request,stop,MSTN_Sioni
17,18,28476,Connceted,24,12.7V,V,V,V,V,V,V,-,auto,
18,19,4446,Connceted,25,13.6V,219V,219V,219V,V,V,V,-,auto,
19,20,4500,Connceted,26,13.7V,209V,214V,226V,V,V,V,-,auto,
20,21,3712,Connceted,27,13.4V,V,V,V,V,V,V,-,auto,
21,22,1510,Connceted,28,12.7V,V,V,V,V,V,V,-,auto,
22,23,3481,Connceted,29,13.8V,238V,239V,240V,V,V,V,SHUTDOWN ALARM: Genset Low Voltage,auto,
