,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-
1,2,1547,Connceted,5,14.4V,8V,V,V,232V,232V,233V,-,test
2,3,17631,Connceted,8,13V,V,V,V,V,V,V,-,auto
3,4,-,Connceted,9,-,-,-,-,-,-,-,-,-
4,5,535,Connceted,10,14.5V,V,V,V,227,233V,231V,-,auto
5,6,2459,Connceted,12,13.8V,219V,224V,225V,V,V,V,-,auto
6,7,1442,Connceted,13,12.8V,V,V,V,V,V,V,-,auto
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-
8,9,2658,Connceted,15,14.3V,5V,V,V,234V,232V,233V,WARNING : Service Request,auto
9,10,15130,Connceted,16,13V,V,V,V,V,V,V,-,auto
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-
11,12,8834,Connceted,19,13.5V,210V,210V,210V,V,V,V,-,auto
12,13,18963,Connceted,20,12.8V,V,V,V,V,V,V,-,auto
13,14,570,Connceted,21,12.6V,V,V,V,V,V,V,-,auto
14,15,-,Not Connceted,22,-,-,-,-,-,-,-,-,-
15,16,3148,Connceted,23,14.5V,19V,15V,16V,230V,231V,232V,-,auto
16,17,-,Connceted,24,-,-,-,-,-,-,-,-,-
17,18,4450,Connceted,25,13.6V,219V,219V,219V,V,V,V,-,auto
18,19,4627,Connceted,26,13.7V,222V,215V,221V,V,V,V,-,auto
19,20,-,Connceted,27,-,-,-,-,-,-,-,-,-
20,21,2164,Connceted,28,13.1V,V,V,V,V,V,V,-,auto
21,22,3489,Connceted,29,13.8V,240V,242V,244V,V,V,V,-,auto
22,23,-,Not Connceted,30,-,-,-,-,-,-,-,-,-
23,24,37397,Connceted,31,13.7V,238V,237V,239V,V,V,V,-,auto
24,25,50579,Connceted,32,12.8V,V,V,V,V,V,V,-,auto
25,26,1526,Connceted,33,13.8V,215V,219V,219V,V,V,V,-,auto
26,27,1964,Connceted,34,13.3V,238V,238V,237V,V,V,V,-,auto
27,28,1321,Connceted,36,13.1V,V,V,V,V,V,V,WARNING : Service Request,stop
28,29,1256,Connceted,37,13.5V,220V,221V,221V,V,V,V,-,auto
29,30,3706,Connceted,38,14.4V,V,V,V,232V,230V,225V,-,auto
30,31,1665,Connceted,39,13.6V,212V,224V,224V,V,V,V,-,auto
31,32,576,Connceted,41,13.8V,226V,226V,226V,V,V,V,-,auto
32,33,20277,Connceted,42,14.7V,50V,44V,42V,227,239V,234V,-,auto
33,34,-,Not Connceted,43,-,-,-,-,-,-,-,-,-
34,35,-,Not Connceted,44,-,-,-,-,-,-,-,-,-
35,36,11451,Connceted,45,14.6V,V,V,V,232V,232V,234V,-,auto
36,37,196,Connceted,46,13.7V,235V,234V,235V,V,V,V,-,auto
37,38,8007,Connceted,48,12.9V,V,V,V,V,V,V,-,auto
38,39,-,Not Connceted,49,-,-,-,-,-,-,-,-,-
39,40,26698,Connceted,54,13.5V,213V,219V,219V,V,V,V,-,auto
40,41,-,Not Connceted,55,-,-,-,-,-,-,-,-,-
41,42,459,Connceted,56,13.9V,224V,224V,224V,V,V,V,-,auto
42,43,220,Connceted,57,13.7V,195V,223V,223V,V,V,V,-,auto
43,44,766,Connceted,58,13.6V,217V,208V,217V,V,V,V,-,auto
