,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition,Remarks,COMName,RemoteIP
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-,SJVH_Khando,2,10.170.0.54
1,2,1612,Connceted,5,14.5V,8V,V,V,232V,232V,232V,-,auto,KAKH_Shuamta,5,10.170.2.149
2,3,17670,Connceted,8,12.8V,V,V,V,V,V,V,-,auto,KAKH_Davit_Gareji,8,10.170.1.12
3,4,2550,Connceted,9,14.3V,V,V,V,230V,234V,226V,-,auto,ADJR_Keda_TV,9,10.170.10.15
4,5,-,Not Connceted,10,-,-,-,-,-,-,-,-,-,SJVH_Tskhratskaro,10,10.170.0.139
5,6,2459,Connceted,12,13.8V,216V,218V,220V,V,V,V,-,auto,IMRT_Boriti,12,10.170.12.28
6,7,-,Not Connceted,13,-,-,-,-,-,-,-,-,-,GURI_Nabeghlavi,13,10.170.11.12
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-,KRTL_Irganchai,14,10.170.3.109
8,9,2732,Connceted,15,12.7V,V,V,V,V,V,V,-,auto,KRTL_Angrevani,15,10.170.3.22
9,10,15190,Connceted,16,12.8V,V,V,V,V,V,V,-,auto,MSTN_Magaroskari,16,10.170.5.104
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-,ADJR_Shuakhevi_TV,17,10.170.10.37
11,12,8834,Connceted,19,13.5V,208V,208V,208V,V,V,V,-,auto,SJVH_Borjomi_TV,19,10.170.0.137
12,13,19035,Connceted,20,14.6V,V,V,V,223V,223V,222V,-,auto,SJVH_Kartsakhi,20,10.170.0.97
13,14,647,Connceted,21,14.6V,V,V,V,227,227V,229V,-,auto,SJVH_Mamtsvara,21,10.170.0.90
14,15,-,Not Connceted,22,-,-,-,-,-,-,-,-,-,SJVH_Efremovka,22,10.170.0.80
15,16,3221,Connceted,23,14.5V,19V,14V,16V,232V,231V,233V,-,auto,MSTN_Sioni,23,10.170.2.132
16,17,287,Connceted,24,14.4V,V,V,V,232V,232V,234V,WARNING : Service Request,auto,MSTN_Khevsurtsopeli,24,10.170.5.110
