Section,Remarks,COMName,NetProtocol,RemoteIP,RemotePort,LocalPort,RegID,CloudId,CloudPw
0,SJVH_Khando,COM2,TCP Client,10.170.0.54,23,--,0,,
1,KAKH_Shuamta,COM5,TCP Client,10.170.2.149,23,--,0,,
2,KAKH_Davit_Gareji,COM8,TCP Client,10.170.1.12,23,--,0,,
3,ADJR_Keda_TV,COM9,TCP Client,10.170.10.15,23,--,0,,
4,SJVH_Tskhratskaro,COM10,TCP Client,10.170.0.139,23,--,0,,
5,IMRT_Boriti,COM12,TCP Client,10.170.12.28,23,--,0,,
6,GURI_Nabeghlavi,COM13,TCP Client,10.170.11.12,23,--,0,,
7,KRTL_Irganchai,COM14,TCP Client,10.170.3.109,23,--,0,,
8,KRTL_Angrevani,COM15,TCP Client,10.170.3.22,23,--,0,,
9,MSTN_Magaroskari,COM16,TCP Client,10.170.5.104,23,--,0,,
10,ADJR_Shuakhevi_TV,COM17,TCP Client,10.170.10.37,23,--,0,,
11,SJVH_Borjomi_TV,COM19,TCP Client,10.170.0.137,23,--,0,,
12,SJVH_Kartsakhi,COM20,TCP Client,10.170.0.97,23,--,0,,
13,SJVH_Mamtsvara,COM21,TCP Client,10.170.0.90,23,--,0,,
14,SJVH_Efremovka,COM22,TCP Client,10.170.0.80,23,--,0,,
15,MSTN_Sioni,COM23,TCP Client,10.170.2.132,23,--,0,,
16,MSTN_Khevsurtsopeli,COM24,TCP Client,10.170.5.110,23,--,0,,
17,KRTL_Rekha,COM25,TCP Client,10.170.3.103,23,--,0,,
18,KRTL_Tsalka,COM26,TCP Client,10.170.3.107,23,--,0,,
19,KRTL_Bediani_Kldisi,COM27,TCP Client,10.170.3.12,23,--,0,,
20,KRTL_Tsopi,COM28,TCP Client,10.170.3.101,23,--,0,,
21,MSTN_Gudauri_TV,COM29,TCP Client,10.170.3.51,23,--,0,,
22,SVAN_Chuberi,COM30,TCP Client,10.170.15.99,23,--,0,,
23,KAKH_Gamarjveba,COM31,TCP Client,10.170.2.118,23,--,0,,
24,SHDK_Okami,COM32,TCP Client,10.170.5.106,23,--,0,,
25,MSTN_Dusheti_TV,COM33,TCP Client,10.170.5.120,23,--,0,,
26,IMRT_Leghvani,COM34,TCP Client,10.170.12.15,23,--,0,,
27,KRTL_Tandzia_Senebi,COM36,TCP Client,10.170.3.24,23,--,0,,
